days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,Johari Dr. Rahul AIDS-VI_B1 ARD-308 A-004,Johari Dr. Rahul AIDS-VI_B1 ARD-308 A-004,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-306 A-004,,"Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318T A-005",Joshi Dr. Ashish AIDS-VI_B1 ARD-320T A-004,Mishra Dr. Pawan Kumar AIDS-VI_B1 HSAI-302 A-004,Singh Mr. Neeraj AIDS-VI_B1 ARO-374 A-004
Mo,,,,,"Jangid Dr. Manisha AIDS-VI_B1, AIDS-VI_B2 ARD-328T A-004",,,
Tu,Surendra Ms. Surbhi AIDS-VI_B1 MSAI-304 A-004,Joshi Dr. Ashish AIDS-VI_B1 ARD-320T A-004,Johari Dr. Rahul AIDS-VI_B1 ARD-354 A-204 Com Lab,Johari Dr. Rahul AIDS-VI_B1 ARD-354 A-204 Com Lab,,Mishra Dr. Pawan Kumar AIDS-VI_B1 HSAI-302 A-004,"Chaudhary Ms. Sheetal AIDS-VI_B1, AIDS-VI_B2 ARD-328P AUB-04 Com Lab","Chaudhary Ms. Sheetal AIDS-VI_B1, AIDS-VI_B2 ARD-328P AUB-04 Com Lab"
Tu,,,Kharwal Ms. Riya AIDS-VI_B1 ARD-354 A-204 Com Lab,Kharwal Ms. Riya AIDS-VI_B1 ARD-354 A-204 Com Lab,,,"Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318P AUB-03 Com Lab","Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318P AUB-03 Com Lab"
We,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-306 A-004,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-306 A-004,Surendra Ms. Surbhi AIDS-VI_B1 MSAI-304 A-004,,AR Guest 1 AIDS-VI_B1 ARO-378 A-004,AR Guest 1 AIDS-VI_B1 ARO-378 A-004,Singh Mr. Neeraj AIDS-VI_B1 ARO-374 A-004,"Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318T A-004"
We,,,,,,,,"Jangid Dr. Manisha AIDS-VI_B1, AIDS-VI_B2 ARD-328T A-005"
Th,"Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318T A-005",Johari Dr. Rahul AIDS-VI_B1 ARD-308 A-004,Johari Dr. Rahul AIDS-VI_B1 ARD-308 A-004,,Joshi Dr. Ashish AIDS-VI_B1 ARD-320P AUB-04 Com Lab,Joshi Dr. Ashish AIDS-VI_B1 ARD-320P AUB-04 Com Lab,Joshi Dr. Ashish AIDS-VI_B1 ARD-320T A-004,Singh Mr. Neeraj AIDS-VI_B1 ARO-374 A-004
Th,"Jangid Dr. Manisha AIDS-VI_B1, AIDS-VI_B2 ARD-328T A-004",,,,,,,
Fr,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-352 AUB-04 Com Lab,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-352 AUB-04 Com Lab,AR Guest 1 AIDS-VI_B1 ARO-378 A-004,"Kalonia Ms. Ritu AIDS-VI_B1, AIDS-VI_B2 ARD-318T A-005",,Khurshid Bijli Ms. Mahvish AIDS-VI_B1 ARD-306 A-004,Joshi Dr. Ashish AIDS-VI_B1 ARD-320T A-004,
Fr,,,,"Jangid Dr. Manisha AIDS-VI_B1, AIDS-VI_B2 ARD-328T A-004",,,,
